ford01;4;AGGOX2;0;3898;6343 
ford01;4;AGGPMX;0;3887;157 
ford01;2;AGGOX2;0;3896;6327 
ford01;2;AGGPMX;0;3909;160 
ford01;3;AGGOX2;0;3874;6348 
ford01;3;AGGPMX;0;3890;158 
ford01;1;AGGOX2;0;3924;6387 
ford01;1;AGGPMX;0;3890;167 
ford01;0;AGGOX2;0;3916;6684 
ford01;0;AGGPMX;0;3913;317 
ford02;4;AGGOX2;0;34617;6340 
ford02;4;AGGPMX;0;33860;158 
ford02;2;AGGOX2;0;34311;6321 
ford02;2;AGGPMX;0;33969;157 
ford02;3;AGGOX2;0;33723;6343 
ford02;3;AGGPMX;0;34082;158 
ford02;1;AGGOX2;0;33793;6412 
ford02;1;AGGPMX;0;35048;157 
ford02;0;AGGOX2;0;34670;6436 
ford02;0;AGGPMX;0;34288;287 
ford03;4;AGGOX2;0;13681;12238 
ford03;4;AGGPMX;0;13786;316 
ford03;2;AGGOX2;0;13766;12218 
ford03;2;AGGPMX;0;13739;315 
ford03;3;AGGOX2;0;13714;12200 
ford03;3;AGGPMX;0;13736;315 
ford03;1;AGGOX2;0;13729;12300 
ford03;1;AGGPMX;0;13723;315 
ford03;0;AGGOX2;0;13711;12614 
ford03;0;AGGPMX;0;13727;401 
ford04;4;AGGOX2;0;193017;12277 
ford04;4;AGGPMX;0;192445;314 
ford04;2;AGGOX2;0;192314;12245 
ford04;2;AGGPMX;0;191489;317 
ford04;3;AGGOX2;0;190031;12245 
ford04;3;AGGPMX;0;190539;315 
ford04;1;AGGOX2;0;191199;12379 
ford04;1;AGGPMX;0;191965;341 
ford04;0;AGGOX2;0;191392;12591 
ford04;0;AGGPMX;0;193018;314 
nissan01;4;AGGOX2;0;23573996;107811 
nissan01;4;AGGPMX;0;23797574;2976 
nissan01;2;AGGOX2;0;23891612;107707 
nissan01;2;AGGPMX;0;23778084;3001 
nissan01;3;AGGOX2;0;23802590;107286 
nissan01;3;AGGPMX;0;23863836;2970 
nissan01;1;AGGOX2;0;23804096;108281 
nissan01;1;AGGPMX;0;23833324;2985 
nissan01;0;AGGOX2;0;23778172;108260 
nissan01;0;AGGPMX;0;23900654;2978 
nissan02;4;AGGOX2;0;1696779964;107977 
nissan02;4;AGGPMX;0;1704452639;2998 
nissan02;2;AGGOX2;0;1663069491;107346 
nissan02;2;AGGPMX;0;1693134777;2974 
nissan02;3;AGGOX2;0;1691217877;107306 
nissan02;3;AGGPMX;0;1645059497;2974 
nissan02;1;AGGOX2;0;1665118710;108500 
nissan02;1;AGGPMX;0;1690681919;2977 
nissan02;0;AGGOX2;0;1708502335;107925 
nissan02;0;AGGPMX;0;1692083164;2982 
nissan03;4;AGGOX2;0;635714571;239670 
nissan03;4;AGGPMX;0;640671222;6691 
nissan03;2;AGGOX2;0;640975951;238899 
nissan03;2;AGGPMX;0;636921966;6678 
nissan03;3;AGGOX2;0;635977840;238924 
nissan03;3;AGGPMX;0;634283077;6687 
nissan03;1;AGGOX2;0;638306712;240334 
nissan03;1;AGGPMX;0;632687392;6723 
nissan03;0;AGGOX2;0;630594353;240615 
nissan03;0;AGGPMX;0;633845388;6927 
nissan04;4;AGGOX2;0;51547912;700593 
nissan04;4;AGGPMX;0;50715598;20086 
nissan04;2;AGGOX2;0;50825632;704640 
nissan04;2;AGGPMX;0;51610032;20038 
nissan04;3;AGGOX2;0;51439450;706506 
nissan04;3;AGGPMX;0;50743534;20076 
nissan04;1;AGGOX2;0;51154632;710708 
nissan04;1;AGGPMX;0;51430558;20066 
nissan04;0;AGGOX2;0;51113342;710630 
nissan04;0;AGGPMX;0;51152854;20325 
